hora,events,placarFull,placarHafTime,golsHalfTime,oddsHome,oddsDraw,oddsAway,timesgol
11:00,Coreia do Sul v Portugal,2-1,1 - 1,[91],4.00,3.75,1.85,91
11:00,Gana v Uruguai,0-2,0 - 2,[],4.50,3.80,1.75,100
15:00,Anderlecht U23 v Genk U23,2-0,2 - 0,[],2.10,3.75,2.87,100
15:00,St. Liege U23 v Lierse K.,2-4,1 - 3,"[89, 92]",4.33,4.00,1.60,89
13:00,Doxa v Akritas Chloraka,2-0,2 - 0,[],-,-,-,100
13:00,Paralimni v AEK Larnaca,0-2,0 - 1,[70],-,-,-,70
08:45,Arab Contractors v Ceramica Cleopatra,2-1,1 - 0,"[66, 84]",-,-,-,66
08:45,Ismaily v Smouha,0-1,0 - 1,[],-,-,-,100
13:00,Al Ahly v El Gaish,2-1,0 - 1,"[53, 66]",-,-,-,53
16:30,Granada v Alavés,3-1,2 - 1,[51],2.30,3.00,3.50,51
14:30,Bastia-Borgo v Red Star,0-4,0 - 1,"[48, 68, 73]",-,-,-,48
14:30,Chateauroux v Stade Briochin,2-2,1 - 1,"[49, 64]",-,-,-,49
15:00,Camarões v Brasil,1-0,0 - 0,[92],11.00,5.25,1.30,92
14:30,Cholet v Villefranche,0-0,0 - 0,[],-,-,-,100
14:30,Concarneau v Avranches,3-1,1 - 0,"[52, 78, 85]",-,-,-,52
14:30,Dunkerque v Martigues,0-1,0 - 0,[74],-,-,-,74
14:30,Le Mans v Bourg en Bresse,1-1,0 - 1,[70],-,-,-,70
14:30,Nancy v Paris 13 Atl.,1-0,1 - 0,[],-,-,-,100
14:30,Orleans v Le Puy-en-Velay,1-2,1 - 1,[66],-,-,-,66
15:45,Lincoln v Lions Gibraltar,6-0,4 - 0,"[49, 87]",-,-,-,49
09:00,Ilioupoli v Panachaiki,2-1,2 - 0,[55],-,-,-,55
09:00,Rouf Pao v Irodotos,1-2,0 - 0,"[50, 52, 55]",-,-,-,50
15:00,Sérvia v Suíça,2-3,2 - 2,[48],2.55,3.30,2.80,48
15:45,Morecambe v Exeter,1-1,1 - 1,[],3.20,3.40,2.20,100
15:45,Peterborough v Barnsley,1-2,1 - 1,[61],2.30,3.30,3.30,61
15:45,Plymouth v Port Vale,0-2,0 - 0,"[65, 71]",2.10,3.50,3.40,65
15:45,Crewe v Newport,1-2,1 - 0,"[62, 85]",3.00,3.30,2.37,62
15:45,Doncaster v Walsall,0-2,0 - 0,"[52, 71]",2.62,3.10,2.87,52
15:00,Emden v Lubeck,0-6,0 - 2,"[50, 60, 80, 86]",-,-,-,50
15:45,Stevenage v Barrow,5-0,1 - 0,"[50, 75, 78, 86]",2.00,3.10,4.20,50
15:45,Glenavon v Larne,0-1,0 - 0,[80],-,-,-,80
15:45,Annagh v Dundela,3-0,1 - 0,"[54, 92]",-,-,-,54
10:00,Odisha FC v North East Utd,2-1,1 - 0,"[60, 78]",1.36,4.50,6.50,60
07:00,Churchill Brothers v Aizawl,1-1,1 - 0,[75],-,-,-,75
06:00,Elche (Esp) v West Bromwich (Eng),1-0,0 - 0,[61],-,-,-,61
06:00,Sigma Olomouc (Cze) v Kvitkovice (Cze),4-0,0 - 0,"[55, 63, 73, 75]",-,-,-,55
06:30,Lille (Fra) v Club Brugge (Bel),1-0,1 - 0,[],-,-,-,100
07:00,Gornik Z. (Pol) v Podbeskidzie (Pol),1-0,0 - 0,[76],-,-,-,76
14:15,Hoffenheim F v Bayern de Munique F,0-4,0 - 1,"[63, 75, 89]",-,-,-,63
08:00,Bohemians 1905 B (Cze) v Dukla Praga (Cze),2-6,2 - 2,"[52, 71, 74, 79]",-,-,-,52
08:00,Polonia W. (Pol) v Skierniewice (Pol),2-0,2 - 0,[],-,-,-,100
08:30,Frankfurt (Ger) v Sandhausen (Ger),5-1,2 - 0,"[48, 49, 77, 83]",-,-,-,48
09:00,LASK (Aut) v Admira (Aut),2-1,1 - 0,"[65, 77]",-,-,-,65
09:00,RB Leipzig (Ger) v Horsens (Den),2-1,1 - 1,[74],-,-,-,74
09:00,Ried (Aut) v Ceske Budejovice (Cze),3-3,1 - 1,"[49, 53, 84, 89]",-,-,-,49
09:00,Sivasspor (Tur) v Partizani (Alb),2-0,2 - 0,[],-,-,-,100
09:00,Zilina (Svk) v Povazska Bystrica (Svk),3-0,1 - 0,"[67, 83]",-,-,-,67
13:00,Neftci Baku v Qarabag,0-4,0 - 1,"[60, 67, 83]",-,-,-,60
09:30,Grasshoppers (Sui) v Altach (Aut),4-1,3 - 0,"[50, 72]",-,-,-,50
10:00,Blackburn (Eng) v Hearts (Sco),4-0,3 - 0,[52],-,-,-,52
10:00,Hannover (Ger) v Hertha (Ger),1-2,1 - 1,[71],-,-,-,71
10:00,Polten (Aut) v Hartberg (Aut),1-1,1 - 0,[77],-,-,-,77
10:00,Rapid Vienna (Aut) v First Vienna (Aut),4-1,2 - 1,"[66, 80]",-,-,-,66
12:00,Besiktas (Tur) v Karagumruk (Tur),1-1,0 - 1,[85],-,-,-,85
12:00,Wolfsberger (Am) (Aut) v Sturm Graz (Am) (Aut),1-5,0 - 3,"[51, 60, 82]",-,-,-,51
10:30,Al-Ahli v Al-Hala,0-0,0 - 0,[],-,-,-,100
15:30,Stoke (Eng) v Nottingham (Eng),2-1,0 - 1,"[64, 77]",-,-,-,64
15:40,Slask F (Pol) v Hradec Kralove F (Cze),7-0,5 - 0,"[52, 81]",-,-,-,52
15:45,Airbus v Connah's Q.,1-2,0 - 1,"[68, 90]",-,-,-,68
15:45,Bala Town v Flint,1-0,0 - 0,[82],-,-,-,82
15:45,Caernarfon v Newtown,2-3,1 - 2,"[53, 62]",-,-,-,53
15:45,Haverfordwest v Penybont,2-1,2 - 0,[94],-,-,-,94
15:45,Pontypridd v Cardiff Metropolitan,0-1,0 - 0,[47],-,-,-,47
15:45,TNS v Aberystwyth,11-0,4 - 0,"[55, 60, 65, 66, 80, 88, 89]",-,-,-,55
16:45,Torreense v Famalicao,1-0,0 - 0,[50],-,-,-,50
11:30,Al-Shabbab v Manama Club,0-1,0 - 0,[55],-,-,-,55
09:30,UTA Arad v Sepsi Sf. Gheorghe,1-4,1 - 1,"[53, 64, 94]",4.00,3.00,1.90,53
13:00,Petrolul v U. Cluj,2-0,1 - 0,[88],2.62,2.87,2.80,88
13:00,Eyupspor v Tuzlaspor,2-0,1 - 0,[65],1.40,4.33,6.00,65
07:00,Ch. Odessa v Kryvbas,0-1,0 - 1,[],-,-,-,100
13:30,Al Khalidiyah v East Riffa,1-1,1 - 1,[],-,-,-,100
